ROUTE,DIRECTION,RID
Beacon Street Eastbound,EB,101
Beacon Street Westbound,WB,102
Main Streets Northbound,NB,103
Main Streets Southbound,SB,104
Massachusetts Ave Eastbound,EB,105
Massachusetts Ave Westbound,WB,106
Middlesex Tpk/Lowell St Northbound,NB,107
Middlesex Tpk/Lowell St Southbound,SB,108
Route 107 Northbound,NB,109
Route 107 Southbound,SB,110
Route 109 Eastbound,EB,111
Route 109 Westbound,WB,112
Route 114 Eastbound,EB,113
Route 114 Westbound,WB,114
Route 115 Northbound,NB,115
Route 115 Southbound,SB,116
Route 117 Eastbound,EB,117
Route 117 Westbound,WB,118
Route 119 Eastbound,EB,119
Route 119 Westbound,WB,120
Route 123 Eastbound,EB,121
Route 123 Westbound,WB,122
Route 126 Northbound,NB,123
Route 126 Southbound,SB,124
Routes 129 and 129A Eastbound,EB,125
Routes 129 and 129A Westbound,WB,126
Route 135 Eastbound,EB,127
Route 135 Westbound,WB,128
Route 138 Northbound,NB,129
Route 138 Southbound,SB,130
Route 139 East Eastbound,EB,131
Route 139 East Westbound,WB,132
Route 139 Eastbound,EB,133
Route 139 Westbound,WB,134
Route 14 Eastbound,EB,135
Route 14 Westbound,WB,136
Route 140 Eastbound,EB,137
Route 140 Westbound,WB,138
Route 16 East Eastbound,EB,139
Route 16 East Westbound,WB,140
Route 16 West Eastbound,EB,141
Route 16 West Westbound,WB,142
Route 18 Northbound,NB,143
Route 18 Southbound,SB,144
Route 1A Far North Northbound,NB,145
Route 1A Far North Southbound,SB,146
Route 1A North Northbound,NB,147
Route 1A North Southbound,SB,148
Route 1A South Northbound,NB,149
Route 1A South Southbound,SB,150
Route 20 Eastbound,EB,151
Route 20 Westbound,WB,152
Route 203 Eastbound,EB,153
Route 203 Westbound,WB,154
Route 228 Northbound,NB,155
Route 228 Southbound,SB,156
Route 27 Northbound,NB,157
Route 27 Southbound,SB,158
Route 28 North Northbound,NB,159
Route 28 North Southbound,SB,160
Route 28 South Northbound,NB,161
Route 28 South Southbound,SB,162
Route 2A East Eastbound,EB,163
Route 2A East Westbound,WB,164
Route 2A West Eastbound,EB,165
Route 2A West Westbound,WB,166
Route 30 East Eastbound,EB,167
Route 30 East Westbound,WB,168
Route 30 West Eastbound,EB,169
Route 30 West Westbound,WB,170
Route 37 Northbound,NB,171
Route 37 Southbound,SB,172
Route 38 Northbound,NB,173
Route 38 Southbound,SB,174
Route 3A South Northbound,NB,175
Route 3A South Southbound,SB,176
Route 4 and 225 Northbound,NB,177
Route 4 and 225 Southbound,SB,178
Route 4 Northbound,NB,179
Route 4 Southbound,SB,180
Route 53 Northbound,NB,181
Route 53 Southbound,SB,182
Route 60 Eastbound,EB,183
Route 60 Westbound,WB,184
Route 62 East Eastbound,EB,185
Route 62 East Westbound,WB,186
Route 62 West Eastbound,EB,187
Route 62 West Westbound,WB,188
Route 85 Northbound,NB,189
Route 85 Southbound,SB,190
Route 9 East Eastbound,EB,191
Route 9 East Westbound,WB,192
Route 9 West Eastbound,EB,193
Route 9 West Westbound,WB,194
Route 99 Northbound,NB,195
Route 99 Southbound,SB,196
US Route 1 Far North Northbound,NB,197
US Route 1 Far North Southbound,SB,198
US Route 1 South Northbound,NB,199
US Route 1 South Southbound,SB,200
US Routes 3 and 3A Northbound,NB,201
US Routes 3 and 3A Southbound,SB,202
VFW Pkwy/Providence Hwy Northbound,NB,203
VFW Pkwy/Providence Hwy Southbound,SB,204
Washington Street Northbound,NB,205
Washington Street Southbound,SB,206
Storrow Dr/Soldiers Field Rd Eastbound,EB,207
Storrow Dr/Soldiers Field Rd Westbound,WB,208
Memorial Dr/Fresh Pond Pk Eastbound,EB,209
Memorial Dr/Fresh Pond Pk Westbound,WB,210
Melnea Cass Blvd./Mass. Ave. Eastbound,EB,211
Melnea Cass Blvd./Mass. Ave. Westbound,WB,212
Brookline Ave. Northbound,NB,213
Brookline Ave. Southbound,SB,214
Boylston Street Eastbound,EB,215
Riverway/Park Drive Northbound,NB,217
Riverway/Park Drive Southbound,SB,218
Morrissey Blvd. Northbound,NB,219
Morrissey Blvd. Southbound,SB,220
Dorchester Ave./Randolph St. Northbound,NB,221
Dorchester Ave./Randolph St. Southbound,SB,222
Route 1A between I-93 and I-90 Northbound,NB,223
Route 1A between I-93 and I-90 Southbound,SB,224