TOWN_ID,TOWN,centerline_miles,on_road_miles,percent_centerline_miles,off_road_miles
10,Arlington,119.2883,1.5796,0.013241869,5.8972
23,Bedford,84.0653,0.1255,0.001492887,2.8782
26,Belmont,80.4702,2.1857,0.027161608,0.1549
35,Boston,905.239,92.019,0.101651608,48
40,Braintree,136.0982,0,0,2.0267
46,Brookline,105.4973,3.5662,0.033803709,1.8107
48,Burlington,111.2756,5.3556,0.04812915,1.2316
49,Cambridge,141.099,26.1963,0.185659005,16.6665
57,Chelsea,46.5004,0,0,0.9274
65,Cohasset,47.7541,0,0,3.9296
67,Concord,127.0802,0,0,3.5271
71,Danvers,122.3364,0,0,4.3256
93,Everett,63.3801,0,0,2.6017
100,Framingham,235.1721,0,0,0.3526
119,Hamilton,51.8128,0,0,0.8645
131,Hingham,128.767,0,0,15.0077
141,Hudson,91.8476,0,0,3.0486
144,Ipswich,95.3961,0,0,0.3584
155,Lexington,151.8434,3.5139,0.023141605,9.79
157,Lincoln,60.7764,0,0,3.2292
163,Lynn,170.5884,0,0,1.1708
165,Malden,107.9267,0.5319,0.004928345,3.1621
168,Marblehead,77.3477,0,0,1.7739
170,Marlborough,157.0723,0,0,2.1972
176,Medford,133.3903,0.9119,0.006836329,9.1554
185,Milford,118.2668,0,0,4.4431
189,Milton,117.6589,10.6826,0.090792962,2.8359
196,Nahant,18.46,0,0,1.3653
198,Natick,153.9447,0,0,0.8589
199,Needham,134.1072,2.1748,0.016216877,0.5095
207,Newton,302.3576,7.754,0.02564513,3.0442
219,Norwell,83.3608,0,0,0.831
229,Peabody,168.4937,0,0,5.2168
243,Quincy,219.519,0,0,2.2755
244,Randolph,112.6512,0,0,0.8229
246,Reading,98.0092,0,0,0.5417
248,Revere,106.5756,0,0,2.6421
251,Rockland,55.0046,0,0,2.3469
258,Salem,98.7676,4.3423,0.043964822,2.9866
262,Saugus,107.7907,0,0,5.9614
264,Scituate,120.9436,0,0,1.6095
266,Sharon,114.9632,0,0,0.2026
274,Somerville,103.7948,14.659,0.141230582,3.4372
284,Stoneham,78.6722,0,0,0.75
291,Swampscott,46.2826,0,0,0.2856
298,Topsfield,59.045,0,0,3.2525
305,Wakefield,102.7828,0,0,0.2353
308,Waltham,159.4028,0.7966,0.004997403,2.6443
314,Watertown,77.4806,2.5795,0.033292205,3.763
315,Wayland,94.2604,0,0,0.2576
317,Wellesley,128.8735,0,0,4.5302
320,Wenham,31.2216,0,0,1.2919
336,Weymouth,173.1946,0,0,2.1383
344,Winchester,91.7437,0,0,2.4207
347,Woburn,146.9381,0.3351,0.002280552,2.5943