Town,Bridges,Sidewalks,Bike,Equity
Acton,0,0.167920577,0,275507
Arlington,0.023255814,1.11908764,0.06302521,3506735
Ashland,0,0.331667727,0,0
Bedford,0,0.37836276,0.035714286,6507462
Bellingham,0.03030303,0.401785628,0,0
Belmont,0.333333333,1.14905959,0.02875,17229071
Beverly,0,0.983779045,0,0
Bolton,0,0.033144231,0,0
Boston,0.046961326,1.27790039,0.11878453,12423605
Boxborough,0,0.141152614,0,0
Braintree,0.01910828,0.786791919,0.014705882,0
Brookline,0,1.331181549,0.045714286,213702
Burlington,0.054794521,0.221673742,0.010810811,6507462
Cambridge,0.083333333,1.381408279,0.272340426,4766654
Canton,0.033333333,0.34111163,0,10688605
Carlisle,n,0.046819544,0,0
Chelsea,0.194029851,1.323586835,0.019148936,0
Cohasset,n,0.157110522,0.08125,0
Concord,0.08,0.33708899,0.027559055,23393567
Danvers,0.067307692,0.81565934,0.035245902,32716174
Dedham,0.045454545,0.762561966,0.006796117,21129280
Dover,n,0.015540341,0,0
Duxbury,0.176470588,0.020151431,0,247076
Essex,n,0.157942532,0,6166644
Everett,0.071428571,1.322019242,0.041269841,2421270
Foxborough,0.007518797,0.538399417,0,2711153
Framingham,0.055172414,0.515331424,0.001702128,550814
Franklin,0.011764706,0.669394136,0,4991116
Gloucester,0.095238095,0.33071183,0,0
Hamilton,n,0.17361722,0.017307692,0
Hanover,0.208333333,0.283603841,0,0
Hingham,0,0.295775552,0.11627907,0
Holbrook,n,0.800749424,0,0
Holliston,n,0.460323431,0,0
Hopkinton,0.042253521,0.323486785,0,0
Hudson,0.058823529,0.627059452,0.032608696,11114480
Hull,n,0.474325214,0,1885976
Ipswich,0,0.15487479,0.004210526,3250305
Lexington,0.032786885,0.405933,0.076315789,2238080
Lincoln,0.333333333,0.048928808,0.052459016,19792437
Littleton,0.074074074,0.133276118,0,4200000
Lynn,0.173913043,1.321259098,0.007017544,5531280
Lynnfield,0.047619048,1.092529661,0,0
Malden,0,1.344800534,0.034259259,0
Manchester,0,0.327025625,0,0
Marblehead,n,0.798564704,0.023376623,0
Marlborough,0,0.659214168,0.014012739,0
Marshfield,0,0.265823674,0,5929736
Maynard,0.25,0.466571718,0,0
Medfield,0,0.580597772,0,0
Medford,0.034782609,1.248083656,0.07593985,0
Medway,n,0.367367158,0,0
Melrose,n,1.199898371,0,0
Middleton,0.142857143,0.294799886,0,0
Milford,0,0.521950898,0.037288136,7600000
Millis,n,0.407684623,0,0
Milton,0,0.896473262,0.059322034,0
Nahant,n,0.761447931,0.077777778,0
Natick,0.061538462,0.850087293,0.005844156,4450987
Needham,0,1.210916283,0.003731343,28415330
Newton,0.083769634,1.283765353,0.023509934,10988203
Norfolk,n,0.259387275,0,2711153
North Reading,0,0.7868708,0,0
Norwell,0.102040816,0.096611043,0.009638554,0
Norwood,0.028985507,1.08777218,0,0
Peabody,0,1.018664069,0.030952381,0
Pembroke,0,0.28805608,0,0
Quincy,0.010989011,1.306661712,0.010454545,0
Randolph,0.019230769,0.910974643,0.007079646,10529796
Reading,0,0.748147773,0.005102041,139903
Revere,0.066225166,1.080007231,0.024299065,0
Rockland,0.142857143,0.711166209,0.041818182,7500000
Rockport,n,0.242492342,0,0
Salem,0.176470588,1.105669047,0.038383838,2303379
Saugus,0.0625,0.611262078,0.055555556,0
Scituate,n,0.23388741,0.01322314,0
Sharon,0,0.621683117,0.00173913,0
Sherborn,n,0.158505325,0,0
Somerville,0.098591549,1.543345516,0.083653846,15320945
Southborough,0.013888889,0.20681678,0,71521
Stoneham,0.142857143,0.863634901,0.010126582,0
Stoughton,0,0.343223773,0,0
Stow,0.166666667,0.121513119,0,0
Sudbury,0,0.103153913,0,0
Swampscott,n,1.213727206,0.006521739,0
Topsfield,0,0.178703542,0.055932203,3936780
Wakefield,0,0.994940756,0.001941748,2254636
Walpole,0,0.584245774,0,0
Waltham,0.054054054,0.864176263,0.016352201,0
Watertown,0,1.282194134,0.081818182,5387812
Wayland,0.034482759,0.144992981,0.003191489,0
Wellesley,0.066666667,0.646208526,0.034883721,14306580
Wenham,n,0.251685163,0.041935484,0
Weston,0.027972028,0.180589038,0,0
Westwood,0,0.354195233,0,24638546
Weymouth,0,0.670115093,0.012138728,10083300
Wilmington,0.028985507,0.366947925,0,0
Winchester,0,0.780001929,0.026086957,0
Winthrop,n,1.435202912,0,0
Woburn,0,0.713251291,0.017687075,0
Wrentham,0,0.219353098,0,2711153