TOWN_ID,TOWN,2004_All_Crashes,2005_All_Crashes,2006_All_Crashes,2007_All_Crashes,2008_All_Crashes,2009_All_Crashes,2010_All_Crashes,2011_All_Crashes,2012_All_Crashes,2013_All_Crashes,2004_All_Bicycle_Crashes,2005_All_Bicycle_Crashes,2006_All_Bicycle_Crashes,200&_All_Bicycle_Crashes,200*All_Bicycle_Crashes,200(_All_Bicycle_Crashes,2010_All_Bicycle_Crashes,2011_All_Bicycle_Crashes,2012_All_Bicycle_Crashes,2013_All_Bicycle_Crashes,2004_Bicycle_Fatal_Crashes,2005_Bicycle_Fatal_Crashes,2006_Bicycle_Fatal_Crashes,2007_Bicycle_Fatal_Crashes,2008_Bicycle_Fatal_Crashes,2009_Bicycle_Fatal_Crashes,2010_Bicycle_Fatal_Crashes,2011_Bicycle_Fatal_Crashes,2012_Bicycle_Fatal_Crashes,2013_Bicycle_Fatal_Crashes,2004_Bicycle_Number_Fatalities,2005_Bicycle_Number_Fatalities,2006_Bicycle_Number_Fatalities,2007_Bicycle_Number_Fatalities,2008_Bicycle_Number_Fatalities,2009_Bicycle_Number_Fatalities,2010_Bicycle_Numbe_Fatalities,2011_Bicycle_Number_Fatalities,2012_Bicycle_Number_Fatalities,2013_Bicycle_Number_Fatalities,2004_Bicycle_Injury_Crashes,2005_Bicycle_Injury_Crashes,2006_Bicycle_Injury_Crashes,2007_Bicycle_Injury_Crashes,2008_Bicycle_Injury_Crashes,2009_Bicycle_Injury_Crashes,2010_Bicycle_Injury_Crashes,2011_Bicycle_Injury_Crashes,2012_Bicycle_Injury_Crashes,2013_Bicycle_Injury_Crashes,2004_Bicycle_Number_Injuries,2005_Bicycle_Number_Injuries,2006_Bicycle_Number_Injuries,2007_Bicycle_Number_Injuries,2008_Bicycle_Number_Injuries,2009_Bicycle_NumberI_njuries,2010_Bicycle_Number_Injuries,2011_Bicycle_Number_Injuries,2012_Bicycle_Number_Injuries,2013_Bicycle_Number_Injuries,2004_All_Pedestrian_Crashes,2005_All_Pedestrian_Crashes,2006_All_Pedestrian_Crashes,2007_All_Pedestrian_Crashes,2008_All_Pedestrian_Crashes,2009_All_Pedestian_Crashes,2010_All_Pedestrian_Crashes,2011_All_Pedestrian_Crashes,2012_All_Pedestrian_Crashes,2013_All_Pedestrian_Crashes,2004_Pedestrian_Fatal_Crashes,2005_Pedestrian_Fatal_Crashes,2006_Pedestrian_Fatal_Crashes,2007_Pedestrian_Fatal_Crashes,2008_Pedestrian_Fatal_Crashes,2009_Pedestrian_Fatal_Crashes,2010_Pedestrian_Fatal_Crashes,2011_Pedestrian_Fatal_Crashes,2012_Pedestrian_Fatal_Crashes,2013_Pedestrian_Fatal_Crashes,2004_Pedestrian_NumberFatalities,2005_Pedestrian_NumberFatalities,2006_Pedestrian_NumberFatalities,2007_Pedestrian_NumberFatalites,2008_Pedestrian_Number_Fatalities,2009_Pedestrian_Number_Fatalities,2010_Pedestrian_Number_Fatalities,2011_Pedestrian_Number_Fatalities,2012_Pedestrian_Number_Fatalities,2013_Pedestrian_Number_Fatalities,2004_Pedestrian_Injury_Crashes,2005_Pedestrian_Injury_Crashes,2006_Pedestrian_Injury_Crashes,2007_Pedestrian_Injury_Crashes,2008_Pedestrian_Injury_Crashes,2009_Pedestrian_Injury_Crashes,2010_Pedestrian_Injury_Crashes,2011_Pedestrian_Injury_Crashes,2012_Pedestrian_Injury_Crashes,2013_Pedestrian_Injury_Crashes,2004_Pedestrian_Number_Injuries,2005_Pedestrian_Number_Injuries,2006_Pedestrian_Number_Injuries,2007_Pedestrian_Number_Injuries,2008_Pedestrian_Number_Injuries,2009_Pedestrian_Number_Injuries,2010_Pedestrian_Number_Injuries,2011_Pedestrian_Number_Injuries,2012_Pedestrian_Number_Injuries,2013_Pedestrian_Number_Injuries,2004_All_Truck_Crashes,2005_All_Truck_Crashes,2006_All_Truck_Crashes,2007_All_Truck_Crashes,2008_All_Truck_Crashes,2009_All_Truck_Crashes,2010_All_Truck_Crashes,2011_All_Truck_Crashes,2012_All_Truck_Crashes,2013_All_Truck_Crashes,2004_Truck_Fatal_Crashes,2005_Truck_Fatal_Crashes,2006_Truck_Fatal_Crashes,2007_Truck_Fatal_Crashes,2008_Truck_Fatal_Crashes,2009_Truck_Fatal_Crashes,2010_Truck_Fatal_Crashes,2011_Truck_Fatal_Crashes,2012_Truck_Fatal_Crashes,2013_Truck_Fatal_Crashes,2004_Truck_Number_Fatalities,2005_Truck_Number_Fatalities,2006_Truck_Number_Fatalities,2007_Truck_Number_Fatalities,2008_Truck_Number_Fatalities,2009_Truck_Number_Fatalities,2010_Truck_Number_Fatalities,2011_Truck_Number_Fatalities,2012_Truck_Number_Fatalities,2013_Truck_Number_Fatalities,2004_Truck_Injury_Crashes,2005_Truck_Injury_Crashes,2006_Truck_Injury_Crashes,2007_Truck_Injury_Crashes,2008_Truck_Injury_Crashes,2009_Truck_Injury_Crashes,2010_Truck_Injury_Crashes,2011_Truck_Injury_Crashes,2012_Truck_Injury_Crashes,2013_Truck_Injury_Crashes,2004_Truck_Number_Injuries,2005_Truck_Number_Injuries,2006_Truck_Number_Injuries,2007_Truck_Number_Injuries,2008_Truck_Number_Injuries,2009_Truck_Number_Injuries,2010_Truck_Number_Injuries,2011_Truck_Number_Injuries,2012_Truck_Number_Injuries,2013_Truck_Number_Injuries
2,ACTON,403,454,391,337,312,273,299,272,263,267,1,2,8,0,0,1,3,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,1,0,0,0,1,1,0,1,2,5,6,2,1,3,5,3,6,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,3,2,0,0,1,0,2,2,1,3,3,2,0,1,1,0,3,2,1,20,24,23,23,15,12,20,13,11,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,6,4,1,5,8,1,1,2,2,4,7,5,1,6,10,3,1,3
10,ARLINGTON,195,419,419,352,559,556,550,565,588,602,2,2,10,12,18,15,24,10,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,9,8,10,9,3,13,9,2,2,7,9,8,10,9,3,13,9,1,4,11,5,12,18,14,15,21,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,6,2,6,10,4,9,16,14,1,3,6,2,6,10,5,9,16,14,8,14,13,9,32,47,42,33,29,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,2,5,6,2,4,2,3,1,7,2,3,8,6,2,4,2
14,ASHLAND,214,253,263,258,312,233,261,208,239,232,3,0,3,1,4,1,3,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,2,1,2,5,3,0,0,0,3,1,2,1,2,5,2,1,3,4,6,3,3,2,6,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,6,1,3,1,5,2,1,0,1,3,7,1,3,1,5,2,9,12,21,14,17,17,22,20,17,10,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,3,1,1,3,4,4,1,2,1,1,4,3,1,7,4,5,1,2
23,BEDFORD,253,332,334,309,326,273,255,232,266,286,1,5,12,5,5,7,2,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,2,1,1,4,5,1,0,3,1,2,2,1,1,4,5,3,3,3,5,3,1,3,3,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,2,2,4,6,1,0,1,0,2,0,2,2,4,7,16,33,27,24,22,14,21,16,14,18,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,9,4,3,4,1,2,3,2,3,10,11,5,4,4,1,2,4,2,3
25,BELLINGHAM,554,576,557,527,481,408,539,419,493,496,1,4,4,2,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,2,1,0,3,1,0,0,1,1,1,2,1,4,3,0,2,3,2,6,3,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5,2,1,6,0,0,0,0,1,1,5,2,1,7,37,30,28,29,30,21,21,23,29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,10,6,4,4,2,3,3,1,9,1,16,15,7,9,2,3,4,1
26,BELMONT,375,393,417,421,389,355,280,332,291,310,4,6,11,7,6,15,5,5,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,4,3,5,4,3,3,5,2,5,9,4,3,5,4,3,3,5,10,6,8,9,3,8,4,7,6,7,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,6,6,3,7,3,3,3,5,5,5,6,6,3,8,3,3,3,5,6,5,12,22,15,25,25,30,14,16,15,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,4,7,3,3,2,3,2,4,3,1,5,7,4,4,2,4,3
30,BEVERLY,721,851,752,765,741,575,630,626,596,534,12,12,12,10,15,4,11,19,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,7,11,4,7,14,10,6,5,7,8,7,11,4,8,14,11,7,17,19,14,14,12,8,22,17,12,15,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,5,8,7,2,6,17,14,10,11,9,5,8,7,2,6,19,17,10,11,42,34,30,25,29,23,25,23,26,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,4,4,7,3,1,4,6,6,1,5,4,6,10,6,2,4,6,6
34,BOLTON,199,196,175,229,185,135,158,141,167,163,0,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,0,0,1,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,3,0,0,1,17,23,14,28,12,15,12,19,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,5,1,5,3,4,6,4,1,7,13,7,1,7,4,5,9,5,1
35,BOSTON,5574,8973,9680,7926,6919,4626,4808,3719,3955,3951,22,16,12,35,45,78,127,90,102,105,2,0,0,3,0,0,3,0,2,1,2,0,0,3,0,0,3,0,2,1,12,5,7,18,31,46,83,61,67,65,13,5,7,18,37,50,86,64,69,65,95,71,67,97,103,147,302,238,237,213,7,7,8,10,14,2,7,4,3,8,7,7,8,10,14,2,7,4,3,8,56,32,25,45,44,96,180,157,157,144,61,35,25,47,48,108,204,168,169,154,298,467,481,437,393,221,257,237,238,247,2,0,0,1,2,2,1,2,4,2,2,0,0,1,2,3,1,2,4,2,60,103,99,89,78,46,58,65,52,42,92,133,121,115,108,70,88,88,67,56
37,BOXBOROUGH,53,74,53,75,47,31,36,29,57,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,9,4,4,4,3,6,5,4,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,0,0,3,1,2,0,2,2,5,7,0,0,3,1,3,0,3,2
40,BRAINTREE,902,1198,1109,1047,945,725,713,579,639,683,8,4,3,4,2,2,5,1,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,4,2,2,0,2,4,1,0,3,6,4,2,3,0,4,4,1,0,3,15,8,9,6,11,4,8,9,10,20,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,11,5,3,0,4,0,3,2,3,14,11,6,3,0,4,0,3,3,3,17,38,69,56,58,56,40,47,32,35,38,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,23,12,13,6,16,18,15,10,13,11,28,16,20,6,20,21,18,14,19
46,BROOKLINE,670,979,891,754,649,459,96,330,314,205,9,33,17,25,21,30,3,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,7,14,15,21,2,19,17,17,5,20,7,14,15,21,2,19,19,17,28,39,36,27,29,24,3,37,29,17,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,19,23,20,22,17,16,1,19,18,6,19,25,20,25,17,16,1,23,19,6,35,50,44,42,43,23,1,27,18,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,17,2,8,3,5,1,6,8,1,7,29,2,11,4,5,2,7,10,1
48,BURLINGTON,716,952,1022,960,845,593,568,521,552,749,8,1,4,0,3,3,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,3,1,3,1,1,2,4,0,2,0,3,1,3,1,1,2,2,3,9,6,13,5,3,2,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,7,4,0,2,7,3,0,2,1,2,7,4,0,2,7,4,27,43,42,44,34,29,34,20,28,36,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,6,13,7,5,6,6,6,3,9,7,7,20,12,6,9,7,8,4,15
49,CAMBRIDGE,2053,2604,2449,2299,2128,1778,1764,1700,1688,1629,89,115,120,117,150,162,198,174,220,181,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,58,71,75,72,78,109,112,101,131,119,60,74,78,80,78,113,114,102,132,120,85,108,90,84,101,81,101,106,102,107,2,3,1,0,2,0,1,1,1,2,2,3,1,0,2,0,1,1,1,2,49,64,46,45,56,52,60,67,65,69,50,70,50,45,57,54,60,70,68,74,149,162,158,150,122,155,123,119,126,126,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,12,21,19,7,10,20,20,19,12,10,14,28,24,7,11,24,23,23,12,11
50,CANTON,535,703,637,662,601,467,523,456,458,460,2,1,2,5,5,3,4,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,4,3,2,2,1,0,2,1,1,2,4,8,2,2,1,0,2,5,5,10,3,3,5,1,4,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2,5,9,3,1,3,1,3,5,1,2,5,10,3,1,3,1,3,6,44,48,44,55,47,39,49,51,25,38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,9,10,15,11,9,10,14,4,8,28,12,16,17,15,13,14,18,9,11
51,CARLISLE,73,60,59,60,51,55,54,55,46,44,1,1,0,1,6,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0,1,1,1,1,0,0,1,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,1,0,1,0,0,0,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,4,0,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0
57,CHELSEA,737,880,975,1099,956,910,821,751,835,933,13,10,17,15,9,18,12,11,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,14,11,4,13,7,9,7,14,10,6,14,11,4,13,7,9,7,15,32,47,33,62,52,46,56,57,41,66,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,3,1,0,0,23,35,27,45,36,37,39,41,31,50,27,36,29,46,37,37,42,42,32,56,52,55,74,77,72,60,73,56,63,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,14,17,10,5,12,3,10,8,9,13,17,23,17,6,23,3,12,10
65,COHASSET,131,148,122,129,132,148,125,94,143,151,1,1,2,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,2,0,1,1,1,1,0,0,5,8,9,13,9,10,9,4,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,2,5,0,1,2,1,2,2,6,0,4,6,0,1,3
67,CONCORD,423,481,465,490,516,361,347,329,350,332,7,8,1,7,8,6,9,8,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,4,6,2,6,7,11,3,6,3,1,4,6,2,6,7,13,3,3,3,1,6,7,4,4,6,7,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,3,5,1,2,4,5,3,1,3,1,3,5,1,2,4,5,3,35,35,39,42,38,19,23,30,21,19,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,5,13,3,3,4,4,4,3,5,3,6,16,3,3,7,4,9,4,5
71,DANVERS,793,1004,1004,910,816,614,644,515,619,553,5,4,3,9,7,1,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,5,4,1,3,1,1,1,5,2,3,5,4,1,3,1,1,1,7,8,7,11,11,9,7,13,6,9,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,2,0,0,1,1,5,5,4,7,5,7,5,9,4,7,6,5,4,8,5,9,5,9,6,7,32,52,37,49,45,29,35,27,35,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,6,12,7,10,7,6,6,6,17,19,11,14,8,11,8,7,7,11
73,DEDHAM,612,684,717,631,576,510,409,463,550,568,1,1,1,3,1,1,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,3,4,0,0,0,2,2,0,1,0,3,4,0,6,10,4,6,4,4,4,3,12,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,2,2,5,6,0,1,1,0,4,2,3,2,5,6,29,38,37,44,42,40,24,28,37,51,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,11,6,12,11,9,5,9,13,8,10,16,10,14,11,13,9,10,20,10
78,DOVER,93,119,99,92,115,81,94,71,72,92,6,2,2,2,2,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,1,2,4,1,1,1,5,2,2,2,1,2,4,1,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,9,5,3,6,0,5,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,2,1,0,2,0,1,0,0,0
82,DUXBURY,76,264,134,204,208,76,189,181,169,178,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,3,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,1,6,6,4,7,7,5,11,12,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,2,1,2,8,0,0,0,2,4,3,2,1,5,11
92,ESSEX,42,57,43,46,52,38,37,33,35,19,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3,3,0,5,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,2,1,0,1,2,0,0,0,0
93,EVERETT,661,961,854,667,538,420,362,275,326,380,12,10,6,12,2,4,14,4,3,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,8,2,8,0,4,10,2,1,8,6,9,2,8,0,4,10,2,1,8,22,21,15,21,19,28,14,13,19,19,1,0,0,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,2,1,12,12,9,12,6,10,3,8,8,10,12,12,9,13,8,12,3,8,9,10,37,66,59,40,36,36,15,17,26,35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,9,12,7,11,7,2,3,6,5,9,10,12,10,12,9,2,4,7,5
99,FOXBOROUGH,363,468,422,433,461,380,229,463,454,431,4,0,2,2,2,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,1,1,0,0,3,2,3,0,1,1,1,1,0,0,3,2,2,4,1,1,5,4,1,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,4,4,1,0,0,8,2,4,2,1,4,4,1,0,0,11,26,33,22,30,21,17,14,23,29,28,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,6,9,8,8,7,2,4,4,4,8,7,10,9,11,7,2,4,5,5,12
